Obs,State,Date,Equity Capital - All Institutions,Core Deposits to Total Liabilities - All Institutions,Gross 1-4 Family Mortgages to Gross Assets - All Institutions,Gross Real Estate Assets to Gross Assets - All Institutions,Leverage (Core Capital) Ratio - All Institutions,Net Charge-Offs - All Institutions,Net Income (year-to-date) - All Institutions,Other Real Estate Owned - All Institutions,Reserve Coverage Ratio - All Institutions,Provisions for Credit Losses - All Institutions,Total Assets - All Institutions,Total Deposits - All Institutions,Total Loans & Leases - All Institutions,Total Risk-Based Capital (Non CBLR Electors) - All Institutions
122,New York,06/30/1995,38936.0,32.48,8.54,23.12,6.5,690.0,1933.0,991.0,141.55,565.0,592185.0,317333.0,267137.0,12.54
123,New York,09/30/1995,40345.0,31.82,8.49,23.85,6.67,1181.0,3265.0,952.0,141.27,773.0,617056.0,330726.0,276107.0,12.24
124,New York,12/31/1995,41050.0,33.32,8.64,24.53,6.41,1517.0,4530.0,818.0,154.86,1055.0,608811.0,337366.0,268257.0,12.57
125,New York,03/31/1996,40895.0,31.81,8.43,24.16,6.48,354.0,1141.0,787.0,155.56,268.0,608367.0,331278.0,281708.0,12.64
126,New York,06/30/1996,41555.0,31.32,8.24,22.63,6.46,606.0,2988.0,676.0,171.23,582.0,623782.0,329189.0,281923.0,12.49
127,New York,09/30/1996,49347.0,29.65,8.9,21.56,6.55,819.0,4483.0,547.0,173.0,769.0,759107.0,403697.0,353471.0,12.04
128,New York,12/31/1996,51088.0,30.81,8.92,22.17,6.35,1021.0,6312.0,496.0,188.41,946.0,784105.0,432110.0,365800.0,12.24
129,New York,03/31/1997,51053.0,29.45,9.37,22.38,6.45,176.0,1817.0,464.0,183.25,277.0,782686.0,423421.0,314983.0,12.33
130,New York,06/30/1997,53377.0,29.56,9.16,21.64,6.48,323.0,3570.0,470.0,190.17,421.0,816989.0,443622.0,320854.0,11.89
131,New York,09/30/1997,54550.0,26.94,8.96,20.83,6.31,524.0,5275.0,424.0,196.2,607.0,845307.0,440621.0,328652.0,11.67
